OBJECTID,StreetNode,CaptureDate,StreetOn,StreetFrom,StreetTo,CountFirst,CountSecond,TotalVolume,StreetClassification,DirectionFirst,DirectionSecond,Shape__Length
78,73,2022/03/23 07:00:00+00,Southern Ave,Rural,McClintock,5154,11571,16725,0,East Bound,West Bound,5250.52186147887
79,74,2022/03/02 07:00:00+00,Rural Rd,Broadway,Southern,16367,15913,32280,0,North Bound,South Bound,5283.66695710285
80,75,2018/03/23 00:00:00+00,Alameda Dr,Mill,Rural,1057,937,1994,1,East Bound,West Bound,4106.55063290824
81,76,2022/03/02 07:00:00+00,College Ave,Broadway,Southern,1727,1890,3617,1,North Bound,South Bound,5296.56891087643
82,77,2022/03/02 07:00:00+00,Mill Ave,Broadway,Southern,10624,11519,22143,0,North Bound,South Bound,5255.83275676335
83,78,2018/02/28 07:00:00+00,Roosevelt St,Broadway,Southern,2232,2771,5003,1,North Bound,South Bound,5259.23371159707
84,79,2022/03/02 07:00:00+00,Hardy Dr,Broadway,Southern,5817,6045,11862,1,North Bound,South Bound,5250.55837925061
85,80,2019/09/25 07:00:00+00,Alameda Dr,Priest,Roosevelt,947,560,1507,1,East Bound,West Bound,3948.42859766173
86,81,2022/03/02 07:00:00+00,Priest Dr,Broadway,Southern,11937,11780,23717,0,North Bound,South Bound,5288.12008484257
87,82,2018/01/10 07:00:00+00,Broadway Rd,48th,I-10,14761,13133,27894,0,East Bound,West Bound,1503.01354760129
88,83,2022/03/03 00:00:00+00,48th St,Broadway,Southern,12868,14896,27764,0,North Bound,South Bound,5281.85795025754
89,84,2022/02/16 07:00:00+00,Southern Ave,48th,Priest,14679,13922,28601,0,East Bound,West Bound,5333.78749884391
90,85,2022/03/02 07:00:00+00,Southern Ave,Priest,Mill,12905,12221,25126,0,East Bound,West Bound,6464.3027103352
91,86,2022/03/23 07:00:00+00,Southern Ave,Mill,Rural,10285,9121,19406,0,East Bound,West Bound,4044.1550304197
92,87,2018/01/09 07:00:00+00,48th St,Southern,Baseline,8852,11103,19955,0,North Bound,South Bound,5313.96640321786
93,88,2018/01/18 07:00:00+00,Priest Dr,Superstition,Baseline,11453,13241,24694,0,North Bound,South Bound,3102.3532637795
94,89,2022/02/15 07:00:00+00,Mill Ave,Southern,Superstition,13383,14747,28130,0,North Bound,South Bound,2488.83989419201
95,90,2019/10/30 07:00:00+00,College Ave,Southern,Superstition,820,1216,2036,1,North Bound,South Bound,2502.77810565507
96,91,2022/02/16 07:00:00+00,Rural Rd,Southern,Superstition,14428,16352,30780,0,North Bound,South Bound,2502.07257354185
97,92,2022/02/15 07:00:00+00,McClintock Dr,Southern,Superstition,14502,13757,28259,0,North Bound,South Bound,2444.37806776969
98,93,2019/09/25 07:00:00+00,SB Price Rd,Southern,Baseline,0,12110,12110,0,Null,South Bound,5336.06577387548
99,160,2019/11/20 07:00:00+00,NB Price Rd,Southern,Baseline,11305,0,11305,0,North Bound,Null,5526.59348170529
100,95,2021/12/01 07:00:00+00,Baseline Rd,McClintock,Price,8696,9907,18603,0,East Bound,West Bound,4775.95965582858
101,96,2021/10/27 07:00:00+00,McClintock Dr,Superstition,Baseline,16098,14910,31008,0,North Bound,South Bound,2480.02633326998
102,97,2022/04/27 07:00:00+00,Baseline Rd,Rural,McClintock,9796,11617,21413,0,East Bound,West Bound,5919.73699776541
103,98,2018/01/11 07:00:00+00,Lakeshore Dr,Rural,Baseline,2732,2671,5403,1,Southeast,Northwest,2622.07258902184
104,99,2018/01/16 07:00:00+00,Rural Rd,Superstition,Baseline,20281,18872,39153,0,North Bound,South Bound,2613.53870948382
105,100,2018/01/10 07:00:00+00,Baseline Rd,Mill,Rural,15037,14975,30012,0,East Bound,West Bound,3262.25914511695
106,101,2019/11/14 07:00:00+00,College Ave,Superstition,Baseline,383,346,729,1,North Bound,South Bound,2051.37704807722
107,102,2019/11/14 07:00:00+00,Mill Ave,Superstition,Baseline,12773,14412,27185,0,North Bound,South Bound,2503.52099541835
108,103,2022/03/16 07:00:00+00,Kyrene Rd,Southern,Baseline,2837,2822,5659,0,North Bound,South Bound,5327.81619511181
109,104,2018/01/10 07:00:00+00,Baseline Rd,Hardy,Mill,16234,18550,34793,0,East Bound,West Bound,4017.78787742877
110,105,2022/03/02 07:00:00+00,Hardy Dr,Southern,Baseline,5462,6057,11519,1,North Bound,South Bound,5367.84356057387
111,106,2018/01/09 07:00:00+00,Baseline Rd,Priest,Hardy,15843,17173,33016,0,East Bound,West Bound,3248.7751199925
112,107,2018/01/10 07:00:00+00,Baseline Rd,I-10,Priest,20438,26980,53578,0,East Bound,West Bound,1281.96052855437
113,108,2018/01/10 07:00:00+00,Baseline Rd,48th,I-10,27578,26403,53981,0,East Bound,West Bound,2985.57628126917
114,109,2019/10/10 07:00:00+00,Priest Dr,Baseline,Highline Canal,6579,6037,12616,0,North Bound,South Bound,946.041775230026
115,110,2021/04/14 07:00:00+00,Hardy Dr,Baseline,Guadalupe,2899,4900,7799,1,North Bound,South Bound,5444.47562490688
116,111,2019/10/09 07:00:00+00,Kyrene Rd,Baseline,Guadalupe,12906,11419,24325,0,North Bound,South Bound,5294.57712436381
117,112,2019/11/14 07:00:00+00,Mill Ave,Baseline,Cornell,1670,1860,3530,0,North Bound,South Bound,2371.55464632568
118,113,2016/10/05 07:00:00+00,College Ave,Baseline,Cornell,452,319,771,1,North Bound,South Bound,2558.77041923798
119,114,2019/09/25 07:00:00+00,All America Way,Guadalupe,Cornell,1343,1446,2789,1,North Bound,South Bound,3564.22487405904
120,115,2018/01/16 07:00:00+00,Rural Rd,Baseline,Guadalupe,16233,16573,32806,0,North Bound,South Bound,5292.48314856742
121,116,2021/10/14 07:00:00+00,Southshore Dr,Rural,McClintock,929,955,1884,1,East Bound,West Bound,5478.68475922329
122,117,2019/11/20 07:00:00+00,Lakeshore Dr,Baseline,Southshore,1195,1420,2615,1,North Bound,South Bound,2773.97189794809
123,118,2018/11/14 07:00:00+00,McClintock Dr,Baseline,Guadalupe,14783,14325,29108,0,North Bound,South Bound,5477.82731992403
124,119,2019/09/25 07:00:00+00,SB Price Rd,Baseline,Guadalupe,0,5846,5846,0,Null,South Bound,5319.15008842701
125,161,2019/10/03 07:00:00+00,NB Price Rd,Baseline,Guadalupe,4665,0,4665,0,North Bound,Null,5328.60586853746
126,120,2019/11/20 07:00:00+00,Guadalupe Rd,McClintock,Price,11108,11942,23050,0,East Bound,West Bound,5078.87009411805
127,121,2019/11/20 07:00:00+00,Guadalupe Rd,Rural,McClintock,10440,10031,20471,0,East Bound,West Bound,5291.48932670544
128,122,2019/09/25 07:00:00+00,Guadalupe Rd,Kyrene,Rural,10800,11491,22291,0,East Bound,West Bound,5329.12948595487
129,123,2019/11/20 07:00:00+00,Guadalupe Rd,Hardy,Kyrene,6363,5776,12139,0,East Bound,West Bound,3276.56412504331
130,124,2019/11/05 07:00:00+00,Priest Dr,Carmen,Grove,7365,6981,14346,0,North Bound,South Bound,3189.37259812538
131,125,2019/11/20 07:00:00+00,Grove Parkway,Priest,Kyrene,6566,7258,13824,1,East Bound,West Bound,5379.48624223844
132,126,2019/11/05 07:00:00+00,Kyrene Rd,Guadalupe,Elliot,11904,9468,21372,0,North Bound,South Bound,5263.05127979982
133,127,2019/10/30 07:00:00+00,Rural Rd,Guadalupe,Elliot,13938,13193,27131,0,North Bound,South Bound,5280.91028347709
