,x,y,object_id,incident_id,date_time,year,street_name,cross_street,distance,junction_relation,total_injuries,total_fatalities,injury_severity,collision_manner,light_condition,weather,surface_condition,unit_type_1,age_1,gender_1,travel_direction_1,unit_action_1,violation_1,alcohol_use_1,drug_use_1,unit_type_2,age_2,gender_2,travel_direction_2,unit_action_2,violation_2,alcohol_use_2,drug_use_2,lat,long,date,month,day,time,hour,intersection,severity_class
9891,-111.9633,33.3782400000001,9892,2829402,2014-04-12 18:02:00,2014,Baseline Rd,Priest Dr,-38.0,Intersection Related Non Interchange,0,0,No Injury,Rear End,Daylight,Clear,Dry,Driver,33,Male,East,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,50,Female,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.37824,-111.9633,2014-04-12,4.0,12.0,18:02:00,18.0,Baseline Rd & Priest Dr,None
9896,-111.96978,33.3782600000001,9897,2833148,2014-04-13 08:43:00,2014,Baseline Rd,Wendler Dr,0.0,Intersection Non Interchange,0,0,No Injury,Sideswipe Same Direction,Dark Lighted,Clear,Dry,Driver,20,Male,East,Going Straight Ahead,Unknown,No Apparent Influence,No Apparent Influence,Driver,67,Male,East,Making Left Turn,Unknown,No Apparent Influence,No Apparent Influence,33.37826,-111.96978,2014-04-13,4.0,13.0,08:43:00,8.0,Baseline Rd & Wendler Dr,None
9897,-111.92629,33.4147600000001,9898,2829407,2014-04-13 08:52:00,2014,Rural Rd,Apache Blvd,0.0,Intersection Non Interchange,0,0,No Injury,Left Turn,Dark Lighted,Clear,Dry,Driver,22,Male,South,Going Straight Ahead,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,Driver,27,Female,West,Making Left Turn,No Improper Action,No Apparent Influence,No Apparent Influence,33.41476,-111.92629,2014-04-13,4.0,13.0,08:52:00,8.0,Rural Rd & Apache Blvd,None
9941,-111.90908,33.42952,9942,2835256,2014-04-16 21:14:00,2014,McClintock Dr,Rio Salado Pkwy,95.0,Intersection Related Non Interchange,0,0,No Injury,Rear End,Daylight,Clear,Dry,Driver,54,Male,South,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,22,Male,South,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.42952,-111.90908,2014-04-16,4.0,16.0,21:14:00,21.0,McClintock Dr & Rio Salado Pkwy,None
9946,-111.96985,33.4093100000001,9947,2835653,2014-04-17 14:28:00,2014,Broadway Rd,52nd St,-100.0,Intersection Related Interchange,0,0,No Injury,Sideswipe Same Direction,Daylight,Clear,Dry,Driver,22,Female,West,Changing Lanes,Unsafe Lane Change,No Apparent Influence,No Apparent Influence,Driver,34,Male,West,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.40931,-111.96985,2014-04-17,4.0,17.0,14:28:00,14.0,Broadway Rd & 52nd St,None
9962,-111.92629,33.42864,9963,2833734,2014-04-18 00:45:00,2014,Rural Rd,Rio Salado Pkwy,-75.0,Intersection Related Non Interchange,1,0,Non Incapacitating Injury,Rear End,Daylight,Clear,Dry,Driver,46,Male,North,Changing Lanes,Speed To Fast For Conditions,Alcohol,No Apparent Influence,Driver,18,Female,North,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.42864,-111.92629,2014-04-18,4.0,18.0,00:45:00,0.0,Rural Rd & Rio Salado Pkwy,Minor
9963,-111.89032,33.4217200000001,9964,2836872,2014-04-18 01:21:00,2014,Price Rd,University Dr,-107.0,Intersection Related Non Interchange,1,0,Possible Injury,Rear End,Daylight,Clear,Dry,Driver,24,Male,North,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,61,Female,North,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.42172,-111.89032,2014-04-18,4.0,18.0,01:21:00,1.0,Price Rd & University Dr,Minor
9973,-111.92629,33.4288500000001,9974,2834531,2014-04-19 15:39:00,2014,Rural Rd,Rio Salado Pkwy,15.0,Intersection Related Non Interchange,1,0,Possible Injury,Rear End,Daylight,Clear,Dry,Driver,44,Female,South,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,44,Female,South,Making Right Turn,No Improper Action,No Apparent Influence,No Apparent Influence,33.42885,-111.92629,2014-04-19,4.0,19.0,15:39:00,15.0,Rural Rd & Rio Salado Pkwy,Minor
9985,-111.96027,33.4219400000001,9986,2833756,2014-04-20 18:45:00,2014,University Dr,Priest Dr,200.0,Intersection Related Non Interchange,0,0,No Injury,Rear End,Daylight,Clear,Dry,Driver,113,Unknown,West,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,36,Male,West,Slowing In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.42194,-111.96027,2014-04-20,4.0,20.0,18:45:00,18.0,University Dr & Priest Dr,None
10013,-111.89033,33.4073500000001,10014,2833343,2014-04-23 03:42:00,2014,Price Rd,Broadway Rd,-45.0,Intersection Related Non Interchange,1,0,Possible Injury,Rear End,Dark Lighted,Clear,Dry,Driver,33,Male,North,Slowing In Trafficway,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,62,Male,North,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.40735,-111.89033,2014-04-23,4.0,23.0,03:42:00,3.0,Price Rd & Broadway Rd,Minor
10037,-111.92629,33.4286500000001,10038,2835803,2014-04-25 00:44:00,2014,Rural Rd,Rio Salado Pkwy,-74.0,Intersection Related Non Interchange,0,0,No Injury,Rear End,Daylight,Clear,Dry,Driver,19,Male,North,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,22,Female,North,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.42865,-111.92629,2014-04-25,4.0,25.0,00:44:00,0.0,Rural Rd & Rio Salado Pkwy,None
10053,-111.94059,33.42193,10054,2833332,2014-04-25 23:00:00,2014,University Dr,Mill Ave,-175.0,Intersection Related Non Interchange,0,0,No Injury,Rear End,Daylight,Clear,Dry,Driver,16,Male,East,Going Straight Ahead,Followed Too Closely,No Apparent Influence,No Apparent Influence,Driver,25,Female,East,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.42193,-111.94059,2014-04-25,4.0,25.0,23:00:00,23.0,University Dr & Mill Ave,None
10058,-111.92633,33.3927100000001,10059,2837281,2014-04-26 02:56:00,2014,Rural Rd,Southern Ave,-92.0,Intersection Related Non Interchange,1,0,Possible Injury,Rear End,Dark Lighted,Clear,Dry,Driver,34,Female,North,Slowing In Trafficway,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,56,Female,North,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.39271,-111.92633,2014-04-26,4.0,26.0,02:56:00,2.0,Rural Rd & Southern Ave,Minor
10059,-111.92633,33.39293,10060,2837278,2014-04-26 03:24:00,2014,Rural Rd,Southern Ave,-10.0,Intersection Related Non Interchange,0,0,No Injury,Rear End,Dark Lighted,Clear,Dry,Driver,21,Male,North,Slowing In Trafficway,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,42,Male,North,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.39293,-111.92633,2014-04-26,4.0,26.0,03:24:00,3.0,Rural Rd & Southern Ave,None
10107,-111.89031,33.42202,10108,2842734,2014-04-30 03:43:00,2014,Price Rd,University Dr,0.0,Intersection Interchange,1,0,Non Incapacitating Injury,ANGLE (Front To Side)(Other Than Left Turn),Dark Lighted,Clear,Dry,Driver,22,Female,West,Going Straight Ahead,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,Driver,19,Female,North,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.42202,-111.89031,2014-04-30,4.0,30.0,03:43:00,3.0,Price Rd & University Dr,Minor
10114,-111.96978,33.3782600000001,10115,2837297,2014-04-30 21:45:00,2014,Baseline Rd,Wendler Dr,0.0,Intersection Non Interchange,0,0,No Injury,Sideswipe Same Direction,Daylight,Clear,Dry,Driver,56,Female,East,Changing Lanes,Other,No Apparent Influence,No Apparent Influence,Driver,41,Male,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.37826,-111.96978,2014-04-30,4.0,30.0,21:45:00,21.0,Baseline Rd & Wendler Dr,None
10118,-111.892,33.4075700000001,10119,2835562,2014-04-30 23:28:00,2014,Price Rd,Broadway Rd,26.0,Intersection Related Interchange,1,0,Possible Injury,Rear End,Daylight,Clear,Dry,Driver,18,Female,South,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,26,Female,South,Making Right Turn,No Improper Action,No Apparent Influence,No Apparent Influence,33.40757,-111.892,2014-04-30,4.0,30.0,23:28:00,23.0,Price Rd & Broadway Rd,Minor
10123,-111.95251,33.37821,10124,2835574,2014-05-01 01:25:00,2014,Baseline Rd,Hardy Dr,0.0,Intersection Non Interchange,2,0,Possible Injury,Left Turn,Daylight,Clear,Dry,Driver,26,Female,West,Making Left Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,Driver,40,Male,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.37821,-111.95251,2014-05-01,5.0,1.0,01:25:00,1.0,Baseline Rd & Hardy Dr,Minor
10139,-111.9263,33.41684,10140,2836304,2014-05-01 21:54:00,2014,Rural Rd,Lemon St,0.0,Intersection Non Interchange,0,0,No Injury,Left Turn,Daylight,Clear,Dry,Driver,29,Male,South,Making Left Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,Driver,20,Female,North,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.41684,-111.9263,2014-05-01,5.0,1.0,21:54:00,21.0,Rural Rd & Lemon St,None
10146,-111.94002,33.42193,10147,2836868,2014-05-02 08:55:00,2014,University Dr,Mill Ave,0.0,Intersection Non Interchange,0,0,No Injury,Left Turn,Dark Lighted,Clear,Dry,Driver,34,Male,East,Making Left Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,Pedalcyclist,38,Male,West,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.42193,-111.94002,2014-05-02,5.0,2.0,08:55:00,8.0,University Dr & Mill Ave,None
10166,-111.92629,33.42877,10167,2835243,2014-05-04 07:30:00,2014,Rural Rd,Rio Salado Pkwy,-30.0,Intersection Related Non Interchange,0,0,No Injury,Rear End,Dark Lighted,Clear,Dry,Driver,29,Male,North,Going Straight Ahead,Speed To Fast For Conditions,Alcohol,No Apparent Influence,Driver,22,Male,North,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.42877,-111.92629,2014-05-04,5.0,4.0,07:30:00,7.0,Rural Rd & Rio Salado Pkwy,None
10190,-111.92628,33.40759,10191,2836312,2014-05-06 22:37:00,2014,Rural Rd,Broadway Rd,30.0,Intersection Related Non Interchange,0,0,No Injury,Rear End,Daylight,Clear,Dry,Driver,20,Female,South,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,51,Male,South,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.40759,-111.92628,2014-05-06,5.0,6.0,22:37:00,22.0,Rural Rd & Broadway Rd,None
10191,-111.92628,33.4077800000001,10192,2836313,2014-05-06 22:37:00,2014,Rural Rd,Broadway Rd,100.0,Intersection Related Non Interchange,0,0,No Injury,Rear End,Daylight,Clear,Dry,Driver,20,Female,North,Backing,Other,No Apparent Influence,No Apparent Influence,Driver,63,Male,South,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.40778,-111.92628,2014-05-06,5.0,6.0,22:37:00,22.0,Rural Rd & Broadway Rd,None
10194,-111.9263,33.41684,10195,2844001,2014-05-07 06:56:00,2014,Rural Rd,Lemon St,3.0,Intersection Related Non Interchange,1,0,Possible Injury,Other,Dark Lighted,Clear,Dry,Pedestrian,18,Female,West,Crossing Road,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,Driver,20,Male,South,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.41684,-111.9263,2014-05-07,5.0,7.0,06:56:00,6.0,Rural Rd & Lemon St,Minor
10195,-111.89033,33.4074800000001,10196,2835796,2014-05-07 18:50:00,2014,Broadway Rd,Price Rd,0.0,Intersection Non Interchange,0,0,No Injury,Rear End,Daylight,Clear,Dry,Driver,29,Male,West,Making Right Turn,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,45,Male,West,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.40748,-111.89033,2014-05-07,5.0,7.0,18:50:00,18.0,Broadway Rd & Price Rd,None
10197,-111.92563,33.4075100000001,10198,2844080,2014-05-07 19:07:00,2014,Broadway Rd,Rural Rd,200.0,Intersection Related Non Interchange,0,0,No Injury,Rear End,Daylight,Clear,Dry,Driver,113,Unknown,West,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,60,Female,West,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.40751,-111.92563,2014-05-07,5.0,7.0,19:07:00,19.0,Broadway Rd & Rural Rd,None
10203,-111.92631,33.42191,10204,2836309,2014-05-08 00:45:00,2014,Rural Rd,University Dr,-45.0,Intersection Related Non Interchange,0,0,No Injury,Rear End,Daylight,Clear,Dry,Driver,19,Male,North,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,21,Male,North,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.42191,-111.92631,2014-05-08,5.0,8.0,00:45:00,0.0,Rural Rd & University Dr,None
10204,-111.9263,33.4243500000001,10205,2844030,2014-05-08 02:22:00,2014,Rural Rd,6th St,-55.0,Intersection Related Non Interchange,0,0,No Injury,Rear End,Daylight,Clear,Dry,Driver,24,Female,North,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,52,Male,North,Slowing In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.42435,-111.9263,2014-05-08,5.0,8.0,02:22:00,2.0,Rural Rd & 6th St,None
10215,-111.93936,33.37821,10216,2844578,2014-05-09 06:16:00,2014,Baseline Rd,Mill Ave,0.0,Intersection Non Interchange,0,0,No Injury,Sideswipe Same Direction,Dark Lighted,Clear,Dry,Driver,20,Female,East,Making Left Turn,Failed To Keep In Proper Lane,No Apparent Influence,No Apparent Influence,Driver,62,Male,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.37821,-111.93936,2014-05-09,5.0,9.0,06:16:00,6.0,Baseline Rd & Mill Ave,None
10223,-111.89031,33.42202,10224,2842738,2014-05-09 23:24:00,2014,Price Rd,University Dr,0.0,Intersection Interchange,0,0,No Injury,Sideswipe Same Direction,Daylight,Clear,Dry,Driver,113,Unknown,North,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,Driver,70,Male,North,Going Straight Ahead,Unknown,No Apparent Influence,No Apparent Influence,33.42202,-111.89031,2014-05-09,5.0,9.0,23:24:00,23.0,Price Rd & University Dr,None
10230,-111.92625,33.4075,10231,2835777,2014-05-10 17:22:00,2014,Broadway Rd,Rural Rd,10.0,Intersection Related Non Interchange,0,0,No Injury,Rear End,Daylight,Clear,Dry,Driver,59,Male,East,Backing,Other,No Apparent Influence,No Apparent Influence,Driver,47,Female,West,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.4075,-111.92625,2014-05-10,5.0,10.0,17:22:00,17.0,Broadway Rd & Rural Rd,None
10241,-111.92628,33.4074200000001,10242,2843950,2014-05-11 09:50:00,2014,Rural Rd,Broadway Rd,-30.0,Intersection Related Non Interchange,0,0,No Injury,Rear End,Dark Lighted,Clear,Dry,Driver,46,Female,North,Going Straight Ahead,Speed To Fast For Conditions,Alcohol,No Apparent Influence,Driver,20,Female,North,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.40742,-111.92628,2014-05-11,5.0,11.0,09:50:00,9.0,Rural Rd & Broadway Rd,None
10244,-111.96863,33.37827,10245,2842815,2014-05-12 00:00:00,2014,Baseline Rd,I-10 Exit 155 G-Ramp,0.0,Intersection Interchange,0,0,No Injury,Left Turn,Daylight,Unknown,Dry,Driver,17,Male,East,Going Straight Ahead,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,Driver,49,Male,South,Making Left Turn,No Improper Action,No Apparent Influence,No Apparent Influence,33.37827,-111.96863,2014-05-12,5.0,12.0,00:00:00,0.0,Baseline Rd & I-10 Exit 155 G-Ramp,None
10250,-111.92631,33.4220300000001,10251,2844373,2014-05-12 18:23:00,2014,University Dr,Rural Rd,0.0,Intersection Non Interchange,1,0,Non Incapacitating Injury,Left Turn,Daylight,Clear,Dry,Driver,30,Male,West,Making Left Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,Driver,52,Female,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.42203,-111.92631,2014-05-12,5.0,12.0,18:23:00,18.0,University Dr & Rural Rd,Minor
10271,-111.92633,33.3928000000001,10272,2843140,2014-05-14 01:50:00,2014,Rural Rd,Southern Ave,-60.0,Intersection Related Non Interchange,0,0,No Injury,Rear To Rear,Daylight,Clear,Dry,Driver,23,Female,North,Changing Lanes,Followed Too Closely,No Apparent Influence,No Apparent Influence,Driver,31,Male,Unknown,Slowing In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.3928,-111.92633,2014-05-14,5.0,14.0,01:50:00,1.0,Rural Rd & Southern Ave,None
10273,-111.96863,33.37827,10274,2843078,2014-05-14 02:50:00,2014,Baseline Rd,I-10 Exit 155 G-Ramp,0.0,Intersection Interchange,1,0,Possible Injury,Left Turn,Dark Lighted,Clear,Dry,Driver,22,Female,East,Going Straight Ahead,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,Driver,45,Male,West,Making Left Turn,No Improper Action,No Apparent Influence,No Apparent Influence,33.37827,-111.96863,2014-05-14,5.0,14.0,02:50:00,2.0,Baseline Rd & I-10 Exit 155 G-Ramp,Minor
10287,-111.92633,33.39266,10288,2842727,2014-05-14 23:27:00,2014,Rural Rd,Southern Ave,-110.0,Intersection Related Non Interchange,0,0,No Injury,Rear End,Daylight,Clear,Dry,Driver,21,Female,North,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,51,Male,North,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.39266,-111.92633,2014-05-14,5.0,14.0,23:27:00,23.0,Rural Rd & Southern Ave,None
10308,-111.96863,33.37827,10309,2844056,2014-05-16 18:42:00,2014,Baseline Rd,I-10 Exit 155 G-Ramp,0.0,Intersection Interchange,0,0,No Injury,Sideswipe Same Direction,Daylight,Clear,Dry,Driver,71,Male,Southeast,Making Left Turn,Inattention Distraction,No Apparent Influence,No Apparent Influence,Driver,20,Female,East,Going Straight Ahead,Inattention Distraction,No Apparent Influence,No Apparent Influence,33.37827,-111.96863,2014-05-16,5.0,16.0,18:42:00,18.0,Baseline Rd & I-10 Exit 155 G-Ramp,None
10312,-111.92629,33.4288500000001,10313,2844092,2014-05-16 20:28:00,2014,Rural Rd,Rio Salado Pkwy,0.0,Intersection Non Interchange,1,0,Possible Injury,Left Turn,Daylight,Clear,Dry,Driver,35,Female,Southeast,Making Left Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,Driver,69,Male,North,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.42885,-111.92629,2014-05-16,5.0,16.0,20:28:00,20.0,Rural Rd & Rio Salado Pkwy,Minor
10325,-111.92631,33.4220800000001,10326,2842778,2014-05-17 13:09:00,2014,Rural Rd,University Dr,19.0,Intersection Related Non Interchange,0,0,No Injury,Rear End,Daylight,Clear,Dry,Driver,49,Female,South,Slowing In Trafficway,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,22,Male,South,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.42208,-111.92631,2014-05-17,5.0,17.0,13:09:00,13.0,Rural Rd & University Dr,None
10365,-111.92631,33.4220300000001,10366,2842723,2014-05-20 20:27:00,2014,University Dr,Rural Rd,0.0,Intersection Non Interchange,0,0,No Injury,Rear End,Daylight,Clear,Dry,Driver,25,Male,West,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,48,Male,West,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.42203,-111.92631,2014-05-20,5.0,20.0,20:27:00,20.0,University Dr & Rural Rd,None
10369,-111.95251,33.37821,10370,2844421,2014-05-20 22:55:00,2014,Baseline Rd,Hardy Dr,0.0,Intersection Non Interchange,1,0,Incapacitating Injury,ANGLE (Front To Side)(Other Than Left Turn),Daylight,Clear,Dry,Driver,22,Female,East,Going Straight Ahead,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,Driver,49,Female,North,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.37821,-111.95251,2014-05-20,5.0,20.0,22:55:00,22.0,Baseline Rd & Hardy Dr,Severe
10370,-111.95251,33.37821,10371,2844408,2014-05-21 00:27:00,2014,Baseline Rd,Hardy Dr,0.0,Intersection Non Interchange,0,0,No Injury,Left Turn,Daylight,Clear,Dry,Driver,34,Female,West,Making Left Turn,Made Improper Turn,No Apparent Influence,No Apparent Influence,Driver,68,Female,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.37821,-111.95251,2014-05-21,5.0,21.0,00:27:00,0.0,Baseline Rd & Hardy Dr,None
10396,-111.892,33.4075100000001,10397,2844316,2014-05-23 00:13:00,2014,Price Rd,Broadway Rd,5.0,Intersection Related Interchange,0,0,No Injury,ANGLE (Front To Side)(Other Than Left Turn),Daylight,Clear,Dry,Pedalcyclist,35,Male,East,Making Left Turn,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,Driver,24,Male,South,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.40751,-111.892,2014-05-23,5.0,23.0,00:13:00,0.0,Price Rd & Broadway Rd,None
10405,-111.92628,33.4075,10406,2844372,2014-05-23 07:29:00,2014,Broadway Rd,Rural Rd,0.0,Intersection Non Interchange,5,0,Possible Injury,ANGLE (Front To Side)(Other Than Left Turn),Dark Lighted,Clear,Dry,Driver,19,Male,South,Going Straight Ahead,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,Driver,23,Male,West,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.4075,-111.92628,2014-05-23,5.0,23.0,07:29:00,7.0,Broadway Rd & Rural Rd,Minor
10416,-111.92632,33.3929600000001,10417,2843945,2014-05-24 00:55:00,2014,Southern Ave,Rural Rd,0.0,Intersection Non Interchange,0,0,No Injury,Sideswipe Same Direction,Daylight,Clear,Dry,Driver,58,Male,East,Going Straight Ahead,Unknown,No Apparent Influence,No Apparent Influence,Driver,19,Male,East,Going Straight Ahead,Unknown,No Apparent Influence,No Apparent Influence,33.39296,-111.92632,2014-05-24,5.0,24.0,00:55:00,0.0,Southern Ave & Rural Rd,None
10422,-111.92629,33.4287400000001,10423,2853380,2014-05-25 00:00:00,2014,Rural Rd,Rio Salado Pkwy,-40.0,Intersection Related Non Interchange,1,0,Non Incapacitating Injury,Rear End,Daylight,Clear,Dry,Driver,27,Male,North,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,22,Male,North,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.42874,-111.92629,2014-05-25,5.0,25.0,00:00:00,0.0,Rural Rd & Rio Salado Pkwy,Minor
10425,-111.92633,33.3929900000001,10426,2907913,2014-05-25 09:23:00,2014,Rural Rd,Southern Ave,10.0,Intersection Related Non Interchange,0,0,No Injury,Rear End,Dark Lighted,Clear,Dry,Driver,34,Male,South,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,Driver,19,Female,South,Slowing In Trafficway,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,33.39299,-111.92633,2014-05-25,5.0,25.0,09:23:00,9.0,Rural Rd & Southern Ave,None
10433,-111.97481,33.37821,10434,2845596,2014-05-26 23:12:00,2014,Baseline Rd,Calle Los Cerros,-220.0,Intersection Related Non Interchange,0,0,No Injury,Rear End,Daylight,Clear,Dry,Driver,20,Male,East,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,45,Male,East,Slowing In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.37821,-111.97481,2014-05-26,5.0,26.0,23:12:00,23.0,Baseline Rd & Calle Los Cerros,None
10447,-111.92629,33.4288500000001,10448,2844691,2014-05-28 22:57:00,2014,Rural Rd,Rio Salado Pkwy,0.0,Intersection Non Interchange,2,0,Non Incapacitating Injury,Left Turn,Daylight,Clear,Dry,Driver,26,Female,North,Making Left Turn,Inattention Distraction,No Apparent Influence,No Apparent Influence,Driver,20,Female,South,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.42885,-111.92629,2014-05-28,5.0,28.0,22:57:00,22.0,Rural Rd & Rio Salado Pkwy,Minor
10473,-111.89033,33.40747,10474,2844261,2014-05-31 00:05:00,2014,Price Rd,Broadway Rd,0.0,Intersection Interchange,0,0,No Injury,Sideswipe Same Direction,Daylight,Clear,Dry,Driver,17,Male,North,Making Left Turn,Failed To Keep In Proper Lane,No Apparent Influence,No Apparent Influence,Driver,54,Female,North,Making Left Turn,No Improper Action,No Apparent Influence,No Apparent Influence,33.40747,-111.89033,2014-05-31,5.0,31.0,00:05:00,0.0,Price Rd & Broadway Rd,None
10477,-111.92628,33.40759,10478,2844004,2014-05-31 02:46:00,2014,Rural Rd,Broadway Rd,30.0,Intersection Related Non Interchange,1,0,Non Incapacitating Injury,Rear End,Dark Lighted,Clear,Dry,Driver,21,Male,South,Going Straight Ahead,Followed Too Closely,No Apparent Influence,No Apparent Influence,Driver,31,Female,South,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.40759,-111.92628,2014-05-31,5.0,31.0,02:46:00,2.0,Rural Rd & Broadway Rd,Minor
10510,-111.92631,33.42195,10511,2844634,2014-06-04 17:41:00,2014,Rural Rd,University Dr,-30.0,Intersection Related Non Interchange,0,0,No Injury,Rear End,Daylight,Clear,Dry,Driver,22,Female,North,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,21,Male,North,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.42195,-111.92631,2014-06-04,6.0,4.0,17:41:00,17.0,Rural Rd & University Dr,None
10532,-111.90911,33.41743,10533,2845615,2014-06-06 15:16:00,2014,McClintock Dr,Don Carlos Ave,-20.0,Intersection Related Non Interchange,1,0,Non Incapacitating Injury,Single Vehicle,Daylight,Clear,Dry,Driver,28,Male,North,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,,,,,,,,,33.41743,-111.90911,2014-06-06,6.0,6.0,15:16:00,15.0,McClintock Dr & Don Carlos Ave,Minor
