,x,y,object_id,incident_id,date_time,year,street_name,cross_street,distance,junction_relation,total_injuries,total_fatalities,injury_severity,collision_manner,light_condition,weather,surface_condition,unit_type_1,age_1,gender_1,travel_direction_1,unit_action_1,violation_1,alcohol_use_1,drug_use_1,unit_type_2,age_2,gender_2,travel_direction_2,unit_action_2,violation_2,alcohol_use_2,drug_use_2,lat,long,date,month,day,time,hour,intersection,severity_class
40740,-111.9262829,33.4075017800001,40741,3778329,2021-04-30 07:06:00,2021,Broadway Rd,Rural Rd,0.0,Intersection 4 Way 202,0,0,No Injury,Angle - Other Than Left Turn 2,Dark Lighted,Clear,Dry,Driver,22,Female,South,Making Left Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,Driver,23,Male,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.40750178,-111.9262829,2021-04-30,4.0,30.0,07:06:00,7.0,Broadway Rd & Rural Rd,None
40754,-111.9263016,33.42461323,40755,3773673,2021-05-01 04:17:00,2021,Rural Rd,6th St,42.0,Intersection Related 206,0,0,No Injury,Rear End,Dark Lighted,Clear,Dry,Driver,16,Female,South,Going Straight Ahead,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,Driver,21,Female,South,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.42461323,-111.9263016,2021-05-01,5.0,1.0,04:17:00,4.0,Rural Rd & 6th St,None
40767,-111.9091434,33.4303235900001,40768,3773684,2021-05-03 23:55:00,2021,McClintock Dr,Rio Salado Pkwy,387.0,Intersection Related 206,2,0,Possible Injury,Rear End,Daylight,Clear,Dry,Driver,27,Female,North,Going Straight Ahead,Followed Too Closely,No Apparent Influence,No Apparent Influence,Driver,21,Male,North,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.43032359,-111.9091434,2021-05-03,5.0,3.0,23:55:00,23.0,McClintock Dr & Rio Salado Pkwy,Minor
40781,-111.9523163,33.3782124200001,40782,3773663,2021-05-05 17:52:00,2021,Baseline Rd,Hardy Dr,60.0,Intersection Related 206,0,0,No Injury,Rear End,Daylight,Clear,Dry,Driver,78,Female,West,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,66,Female,West,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.37821242,-111.9523163,2021-05-05,5.0,5.0,17:52:00,17.0,Baseline Rd & Hardy Dr,None
40794,-111.9262829,33.4075979200001,40795,3777447,2021-05-07 00:05:00,2021,Rural Rd,Broadway Rd,35.0,Intersection Related 206,1,0,Possible Injury,Rear End,Daylight,Clear,Dry,Driver,78,Male,South,Going Straight Ahead,Followed Too Closely,No Apparent Influence,No Apparent Influence,Driver,44,Male,South,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.40759792,-111.9262829,2021-05-07,5.0,7.0,00:05:00,0.0,Rural Rd & Broadway Rd,Minor
40830,-111.9263256,33.3929609900001,40831,3777144,2021-05-11 04:18:00,2021,Southern Ave,Rural Rd,0.0,Intersection 4 Way 202,0,0,No Injury,Left Turn,Dark Lighted,Clear,Dry,Driver,27,Male,East,Going Straight Ahead,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,Driver,23,Female,West,Making Left Turn,No Improper Action,No Apparent Influence,No Apparent Influence,33.39296099,-111.9263256,2021-05-11,5.0,11.0,04:18:00,4.0,Southern Ave & Rural Rd,None
40833,-111.9719948,33.3782168700001,40834,3779825,2021-05-11 18:01:00,2021,Baseline Rd,Pointe Pkwy,0.0,Intersection Non Interchange,0,0,No Injury,Sideswipe Opposite Direction,Daylight,Clear,Dry,Driver,32,Male,South,Making Left Turn,Unknown,No Apparent Influence,No Apparent Influence,Driver,31,Female,West,Going Straight Ahead,Unknown,No Apparent Influence,No Apparent Influence,33.37821687,-111.9719948,2021-05-11,5.0,11.0,18:01:00,18.0,Baseline Rd & Pointe Pkwy,None
40846,-111.9456938,33.3781997500001,40847,3779824,2021-05-12 14:12:00,2021,Baseline Rd,Kyrene Rd,90.0,Intersection Related 206,0,0,No Injury,Sideswipe Same Direction,Daylight,Clear,Dry,Driver,24,Male,West,Going Straight Ahead,Other,No Apparent Influence,No Apparent Influence,Driver,50,Female,West,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.37819975,-111.9456938,2021-05-12,5.0,12.0,14:12:00,14.0,Baseline Rd & Kyrene Rd,None
40860,-111.9715203,33.37822334,40861,3778328,2021-05-12 23:02:00,2021,Baseline Rd,Pointe Pkwy,145.0,Intersection Related 206,0,0,No Injury,Sideswipe Same Direction,Daylight,Clear,Dry,Driver,21,Male,West,Changing Lanes,Unknown,No Apparent Influence,No Apparent Influence,Driver,23,Male,West,Going Straight Ahead,Unknown,No Apparent Influence,No Apparent Influence,33.37822334,-111.9715203,2021-05-12,5.0,12.0,23:02:00,23.0,Baseline Rd & Pointe Pkwy,None
40876,-111.9263299,33.39271397,40877,3778433,2021-05-13 23:49:00,2021,Rural Rd,Southern Ave,-90.0,Intersection Related 206,0,0,No Injury,Rear End,Daylight,Clear,Dry,Driver,27,Female,North,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,57,Male,North,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.39271397,-111.9263299,2021-05-13,5.0,13.0,23:49:00,23.0,Rural Rd & Southern Ave,None
